country,year,cereal_yield,fdi_perc_gdp,gni_per_cap,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,pop_growth_perc,pop,urb_pop_growth_perc
KEN,1991,1712.5,0.230995266994132,350.0,329.581782125602,459.553563045181,4840.44,0.199687229116306,143.211321012879,5.97376463834237,11.5246441545,8152105054.25449,3.32585127864644,24240108.0,4.20113038960592
KEN,1992,1661.1,0.0774036170648793,330.0,340.458456101204,455.838254667198,5540.837,0.221258844524451,165.254767089542,6.06787387595324,11.5246604471,8220718082.65439,3.25589763843892,25042330.0,4.12358204100778
KEN,1993,1461.2,2.53235258891374,270.0,343.868299260231,447.655645830628,6347.577,0.245588095782335,188.64938173299,6.16852938641134,11.6004729496,5751786609.50323,3.16051260876259,25846436.0,4.02073296702894
KEN,1994,1918.2,0.103976829403585,260.0,342.765042639179,444.277116064787,6556.596,0.246091799285866,189.862729871217,6.27915060406179,11.6062763327,7148143144.00729,3.03494915626128,26642887.0,3.88783279101332
KEN,1995,1753.0,0.467473986331923,270.0,346.057040445433,454.940617785057,7554.02,0.275435612993934,209.514009828395,6.40064873410798,11.6070691517,9046331923.21178,2.89590485637324,27425720.0,3.74157585819556
KEN,1996,1402.3,0.902161731884125,340.0,341.17294748029,454.42902720268,9328.848,0.330908816552677,248.43733461625501,6.53418108949273,11.6070286844,12045836991.7091,2.75426955810898,28191597.0,3.48841024394576
KEN,1997,1397.0,0.473452964619269,390.0,342.621269955019,446.593928162522,8265.418,0.285558155909287,219.07664178552898,6.67746654146274,11.6069882801,13115729422.0063,2.63659220640314,28944780.0,3.36538252216227
KEN,1998,1589.9,0.188375900609762,440.0,342.300751063802,449.191804665951,10036.579,0.337972805467058,257.547764560282,6.82932381388861,11.6069479405,14093228424.7143,2.56362862015421,29696410.0,3.28714598823215
KEN,1999,1427.7,0.402863318147874,440.0,340.727876801862,445.936981344129,10172.258,0.333931014858634,255.14727517803598,6.98587828030808,11.6069479712,12896050251.685,2.54588975777347,30462154.0,3.26420993212271
KEN,2000,1374.9,0.873864258670709,420.0,348.475927847692,447.192414108012,10417.947,0.333334826489829,259.752087200961,7.13540773939061,11.6095876007,12691278914.2408,2.56527405104042,31253701.0,3.27847116476755
