country,year,co2_ttl,co2_per_cap,prot_area_perc,gdp,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
AZE,1994,42383.186,5.57893721205739,6.75303147752,3313739673.54738,84.7,1.35173001134955,7597000.0,0.781927985188582,3988425.0
AZE,1995,33586.053,4.37033871177619,6.7530310527,3052467522.36104,81.7,1.15169437426819,7685000.0,0.578626976048963,4011570.0
AZE,1996,31565.536,4.06615174545923,6.75303071932,3176749593.11788,78.7,1.00984797957055,7763000.0,0.625970412581841,4036760.0
AZE,1997,29966.724,3.82326154631283,6.75303051327,3962710163.11167,75.7,0.961484174713846,7838000.0,0.576127303790652,4060084.0
AZE,1998,31594.872,3.99278048780488,6.75303041603,4446396217.63265,72.7,0.952327624863702,7913000.0,0.565480007169618,4083108.0
AZE,1999,29299.33,3.67021545784793,6.75303041603,4581222442.45783,70.3,0.880730348080837,7983000.0,0.492380401020797,4103262.0
AZE,2000,30546.11,3.79523861330334,6.75303041603,5272617196.04517,67.4,0.817577951157989,8048534.78590979,0.427713961186646,4120849.81038581
BDI,1991,344.698,0.0602194607645313,3.84002828281,1167398478.3459,182.6,2.15994093310816,5724030.0,4.97702862977782,370917.144
BDI,1992,319.029,0.0546743989918889,3.83994586723,1083037670.62404,181.8,1.92133308458873,5835071.0,4.66123050340016,388615.7286
BDI,1993,337.364,0.0568594876403373,4.22091830197,938632612.059308,180.6,1.66929372375118,5933293.0,4.33611843196733,405837.2412
BDI,1994,341.031,0.0566767163132837,4.22086321737,925030590.280334,178.1,1.40305320253379,6017127.0,4.00060184285983,422402.3154
BDI,1995,333.697,0.0548235010763542,4.22080812543,1000428393.94934,175.8,1.15045389450603,6086751.0,3.68223469293504,438246.072
BDI,1996,330.03,0.0537485558424418,4.66171481806,869033856.317093,173.3,0.875231899581473,6140258.0,3.88503501530942,455607.1436
BDI,1997,315.362,0.0510171248272869,4.66165971142,972896267.915425,170.6,0.669306723274781,6181493.0,3.59116132318876,472266.0652
BDI,1998,300.694,0.0483157829618793,4.66160459008,893770806.077641,168.4,0.677503162234405,6223515.0,3.51640348850303,489168.279
BDI,1999,293.36,0.0466861521195761,4.66160459008,808077223.365746,165.7,0.96180718748975,6283662.0,3.72233379667863,507719.8896
BDI,2000,300.694,0.0471725182202977,4.84884160469,709062400.266419,163.8,1.43287228752713,6374347.0,4.11923651448197,529070.801
BEL,1991,117578.688,11.7525801389375,0.587442020966,207672604016.539,9.6,0.37152239228794,10004500.0,0.454475551970901,9652341.6
BEL,1992,114373.73,11.3861353907417,0.588429712175,231616006775.408,9.1,0.404000623753711,10045000.0,0.486885030288806,9699452.0
BEL,1993,108924.568,10.8011867717785,0.590217070471,221691791044.776,8.6,0.392459308049947,10084500.0,0.475275072539508,9745660.8
BEL,1994,113306.633,11.2011776859504,0.591039731701,241582269471.907,8.1,0.307919491587905,10115600.0,0.390666723022827,9783808.32
BEL,1995,112976.603,11.1451940454581,0.591250463815,284142036124.795,7.6,0.209357966518317,10136800.0,0.292036777329555,9812422.4
BEL,1996,119624.874,11.7775794033671,0.592257074603,275433224755.7,7.1,0.199075632917332,10157000.0,0.261039914735428,9838070.2
BEL,1997,116295.238,11.4227716334348,0.606282638765,249438430311.231,6.7,0.236011501875618,10181000.0,0.297937414093639,9867425.2
BEL,1998,119184.834,11.6813519553073,0.650432500622,255267837297.177,6.4,0.215855643189069,10203000.0,0.277743229699082,9894869.4
BEL,1999,115844.197,11.3283979072951,0.659296105069,254175367568.719,6.1,0.225170182254253,10226000.0,0.287019492322778,9923310.4
BEL,2000,115712.185,11.2867913577838,0.822206941681,232371475953.566,5.8,0.253931168377049,10252000.0,0.315742250550169,9954692.0
BEN,1991,828.742,0.16796292396734,23.8063932828,1877810375.13616,173.9,3.31618832510229,4934077.0,4.64071100010436,1724953.3192
BEN,1992,905.749,0.177308066131137,23.806258706,1624296266.50694,170.2,3.47078954338044,5108335.0,4.77799770011571,1809372.257
BEN,1993,1133.103,0.214174410960499,23.8061241293,2106272067.68824,166.7,3.50509589942006,5290562.0,4.79543638301083,1898253.6456
BEN,1994,1265.115,0.231146508534195,23.8059895526,1496845630.25929,163.0,3.39420821501037,5473217.0,4.66811079275335,1988967.0578
BEN,1995,1327.454,0.234900173257047,23.8058549845,2009226253.79815,159.8,3.19909111097831,5651141.0,4.45696933166429,2079619.888
BEN,1996,1265.115,0.217299597989346,23.8057204078,2208067090.28089,156.3,2.97837972134239,5821985.0,3.79029216519282,2159956.435
BEN,1997,1217.444,0.203310803623123,23.8055858397,2156753028.13332,153.1,2.8131728613003,5988093.0,3.61854634200997,2239546.782
BEN,1998,1213.777,0.197211143079412,23.805451263,2334564287.16502,149.7,2.74443199073587,6154708.0,3.54337099408378,2320324.916
BEN,1999,1562.142,0.246804316818643,23.805451263,2387363924.05615,146.6,2.80001349125958,6329476.0,3.59262001850163,2405200.88
BEN,2000,1617.147,0.24811201922118,23.805451263,2254838684.51335,143.4,2.93209776256177,6517810.0,3.71847140858319,2496321.23
BFA,1991,627.057,0.0654545625355231,13.3462109046,3135055824.2757,203.7,2.70899532477821,9580035.0,4.57552474671417,1346952.921
BFA,1992,630.724,0.0640658629298671,13.346251226,2240264677.01086,202.4,2.72754580119322,9844931.0,4.55987331619131,1409794.1192
BFA,1993,627.057,0.0619705189455415,13.3462915402,2332018010.60489,201.2,2.74219710788091,10118634.0,4.54155361268217,1475296.8372
BFA,1994,645.392,0.0620508074925308,13.34633184,1895306626.22466,199.7,2.75256844716311,10401025.0,4.52011956303536,1543512.11
BFA,1995,627.057,0.0586465494553101,13.3463721289,2379510500.9624,198.3,2.76043460564759,10692138.0,4.49728521381197,1614512.838
BFA,1996,707.731,0.0643850122405312,13.5079892093,2586563406.92643,196.5,2.76744961140834,10992170.0,4.73472617127883,1692794.18
BFA,1997,806.74,0.0713827625237046,13.508029708,2447666540.07614,195.3,2.77618153257366,11301608.0,4.70550182604154,1774352.456
BFA,1998,861.745,0.0741531029736363,13.508070185,2804910748.36913,193.7,2.78824717948805,11621159.0,4.68104816803995,1859385.44
BFA,1999,931.418,0.0779318358114883,13.508070185,3014661262.30297,192.1,2.8046123069616,11951701.0,4.66225086425515,1948127.263
BFA,2000,1041.428,0.0847101824855873,13.508070185,2610945548.69944,190.8,2.82387032263004,12294012.0,4.64762907760812,2040805.992
BGD,1991,15940.449,0.147913464227,1.5379218511,30957444767.4221,137.9,2.35919934068732,107768749.0,4.26020706318464,21747733.5482
BGD,1992,17748.28,0.16101783293357,1.53794804362,31708863729.9733,132.1,2.25410478995121,110225555.0,4.11964735610133,22662374.108
BGD,1993,17407.249,0.154531296689631,1.53797419188,33166530060.0412,125.6,2.17165978596285,112645460.0,4.0030362715055,23587959.324
BGD,1994,18969.391,0.164866620838011,1.53800029733,33768661426.807,119.5,2.11998064012738,115059015.0,3.9184200256527,24530581.998
BGD,1995,22816.074,0.194200918583708,1.53802635923,37939752959.8665,113.9,2.08821099619584,117486952.0,3.85487712107284,25494668.584
BGD,1996,24029.851,0.200367840280276,1.60036178336,40666015641.0564,107.3,2.05699688296749,119928682.0,3.79299296921555,26480252.9856
BGD,1997,25063.945,0.204820319174727,1.60039366504,42318798537.7145,101.5,2.01552858437685,122370403.0,3.72190137451712,27484392.5138
BGD,1998,24040.852,0.192629859754327,1.60042550603,44091754148.1823,96.3,1.96867712533918,124803351.0,3.64642067309043,28505085.3684
BGD,1999,25232.627,0.198346567127337,1.60042550603,45694072379.3677,91.2,1.91380120919952,127214841.0,3.56386035739311,29539286.0802
BGD,2000,27865.533,0.215024645566258,1.60042550603,47124925462.1348,85.7,1.85158570317757,129592275.0,3.47485927935945,30583776.9
BGR,1991,59706.094,6.91683202038925,2.41686992785,10943548723.7608,22.3,-0.991362523475423,8632000.0,-0.570562446016234,5755817.6
BGR,1992,53600.539,6.27640971896956,3.10501814813,10371900499.4574,22.5,-1.07152194791562,8540000.0,-0.652485185672829,5718384.0
BGR,1993,69328.302,8.18322733711048,3.1059935368,10831999516.8061,22.8,-0.799439899687547,8472000.0,-0.382151714217827,5696572.8
BGR,1994,55848.41,6.62103260225252,3.11461403707,9704877673.48824,23.0,-0.437689202496385,8435000.0,-0.0221350553886856,5695312.0
